sample_id,x_measured_Ace_ngg,x_measured_Acy_ngg,x_measured_Ant_ngg,x_measured_As_mgkg,x_measured_BaA_ngg,x_measured_BaP_ngg,x_measured_BbF_ngg,x_measured_Be_mgkg,x_measured_BghiP_ngg,x_measured_BkF_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Chr_ngg,x_measured_Co_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DIF_ngg,x_measured_DahA_ngg,x_measured_ENRO_ngg,x_measured_Flt_ngg,x_measured_Flu_ngg,x_measured_Hg_mgkg,x_measured_Ind_ngg,x_measured_Mn_mgkg,x_measured_Nap_ngg,x_measured_Ni_mgkg,x_measured_OCP_total_ngg,x_measured_OC_pct,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_Phe_ngg,x_measured_Pyr_ngg,x_measured_SDZ_ngg,x_measured_SMP_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TC_ngg,x_measured_TotalPHC_mgkg,x_measured_V_mgkg,x_measured_Zn_mgkg,x_measured_pH,source_id,paper_id,matrix,site_type,province,n_hm,n_op,latitude,longitude,audit_flag
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S14,,,,10.47,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,0.0289999999999999,0.019,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S15,,,,2.13,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.002,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S16,,,,22.59,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,10.53,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S18,,,,9.41,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,0.503,0.0175,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S19,,,,1.47,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.291,0.004,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S2,,,,12.29,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.022,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S20,,,,15.84,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,130.49,23.53,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S22,,,,53.865,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,0.485,0.024,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S23,,,,10.52,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.005,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S3,,,,2.51,,,,,,,,123.08,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.003,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S5,,,,8.83,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.017,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S6,,,,13.345,,,,,,,,0.1699999999999999,,,,,,,,,,,,,,,,,,,,,,,,0.1915,0.0245,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S7,,,,2.67,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.008,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S8,,,,30.24,,,,,,,,23.07,,,,,,,,,,,,,,,,,,,,,,,,139.86,47.06,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_Ⅲ,,,,30.0,,,,,,,,1.0,,,300.0,400.0,,,,,,1.5,,,,,,,,500.0,,,,,,1.0,1.0,,,,,,,500.0,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,7,2,,,single_point
72207_10934529.2013.815500_72207_10934529.2013.815500_Percentage_(%),,,4.28,,4.28,9.96,13.42,,9.3,5.41,,1.36,8.61,,,,,,,16.59,16.59,,9.85,,,,,,,,7.81,13.41,,,,,,,,9.3,,,,,,72207_10934529.2013.815500,72207_10934529.2013.815500,soil,other,,1,18,,,single_point
72207_10934529.2013.815500_72207_10934529.2013.815500_Rings,,,4.0,,4.0,5.0,5.0,,6.0,5.0,,5.0,4.0,,,,,,,4.0,4.0,,6.0,,,,,,,,3.0,4.0,,,,,,,,6.0,,,,,,72207_10934529.2013.815500,72207_10934529.2013.815500,soil,other,,1,18,,,single_point
72240_s00254-008-1204-5_72240_s00254-008-1204-5_Henry&#x27;s_law_constant_(Pa_m³/mol),45.4,17.8,10.5,,,,,,,,,0.0124,0.183,,,,,,,1.49,18.6,,,,64.2,,,,,,6.33,1.53,,,,,,,,,,,,,,72240_s00254-008-1204-5,72240_s00254-008-1204-5,soil,agricultural,,1,15,,,single_point
72246_j.envpol.2006.05.027_72246_j.envpol.2006.05.027_Aver._(ug_kg-1),1.4,,4.7,,,,,,,,,27.7,36.7,,,,,,,19.2,5.4,,,,15.8,,,,,,55.5,32.3,,,,,,,,15.8,,,,,,72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027,soil,agricultural,,1,18,,,single_point
72246_j.envpol.2006.05.027_72246_j.envpol.2006.05.027_CV_%,583.0,,205.0,,,,,,,,,261.0,273.0,,,,,,,278.0,104.0,,,,187.0,,,,,,165.0,205.0,,,,,,,,187.0,,,,,,72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027,soil,agricultural,,1,18,,,single_point
72246_j.envpol.2006.05.027_72246_j.envpol.2006.05.027_DR_%,23.3,,73.3,,,,,,,,,90.0,100.0,,,,,,,86.7,100.0,,,,43.3,,,,,,100.0,70.0,,,,,,,,43.3,,,,,,72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027,soil,agricultural,,1,18,,,single_point
72246_j.envpol.2006.05.027_72246_j.envpol.2006.05.027_Max._(ug_kg-1),34.7,,34.7,,,,,,,,,310.0,428.0,,,,,,,229.0,21.8,,,,112.0,,,,,,390.0,278.0,,,,,,,,112.0,,,,,,72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027,soil,agricultural,,1,18,,,single_point
72246_j.envpol.2006.05.027_72246_j.envpol.2006.05.027_Mid._(ug_kg-1),0.0,,1.6,,,,,,,,,11.8,14.6,,,,,,,9.8,3.4,,,,0.0,,,,,,31.5,19.5,,,,,,,,0.0,,,,,,72246_j.envpol.2006.05.027,72246_j.envpol.2006.05.027,soil,agricultural,,1,18,,,single_point
72270_j.scitotenv.2016.03.123_72270_j.scitotenv.2016.03.123_Maximum,,,,16.2,,,,,,,4704.0,0.9,,,40.5,513.0,,,231.0,,,16.2,,,,,,,4834.0,14.0,,,32.9,,163.0,,,,,,,,,1197.0,,72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123,soil,agricultural,,7,5,,,single_point
72270_j.scitotenv.2016.03.123_72270_j.scitotenv.2016.03.123_Minimum,,,,7.9,,,,,,,2097.0,0.6,,,21.2,160.0,,,54.1,,,7.9,,,,,,,3140.0,8.1,,,32.9,,73.8,,,,,,,,,465.0,,72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123,soil,agricultural,,7,5,,,single_point
72270_j.scitotenv.2016.03.123_72270_j.scitotenv.2016.03.123_Percentile,,,,3.8,,,,,,,835.0,0.3,,,12.1,56.9,,,19.0,,,3.8,,,,,,,1452.0,5.0,,,32.9,,33.1,,,,,,,,,232.0,,72270_j.scitotenv.2016.03.123,72270_j.scitotenv.2016.03.123,soil,agricultural,,7,5,,,single_point
72293_j.envpol.2013.11.003_72293_j.envpol.2013.11.003_Kurtosis,,,,0.3,,,,,,,,1.6,,,0.6,0.7,,,,,,0.7,,,,,,,,2.8,,,,,,,,,0.2,,,,,3.3,,72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003,soil,agricultural,,10,4,,,single_point
72293_j.envpol.2013.11.003_72293_j.envpol.2013.11.003_Skewness,,,,0.6,,,,,,,,1.3,,,0.8,0.8,,,,,,,,,,,,,,0.3,,,,,,,,,0.09,,,,,0.5,,72293_j.envpol.2013.11.003,72293_j.envpol.2013.11.003,soil,agricultural,,9,6,,,single_point
72341_s00244-006-0111-6_72341_s00244-006-0111-6_Concentration__$(_\boldsymbol_{_\mathrm_{_n_g_}_}_\_\boldsymbol_{_\mathrm_{_g_}_}_^_{_-_1_}_)$,0.57,,1.77,,,,,,,,,2.78,4.86,,,,,,,8.92,0.85,,,,1.65,,,,,,5.27,4.3,,,,0.119,0.002,,,,,,,,,72341_s00244-006-0111-6,72341_s00244-006-0111-6,soil,agricultural,,1,14,,,single_point
72342_S1002-0160(14)60037-0_72342_S1002-0160(14)60037-0_Arithmetic_mean,,,,,,,,,,,,0.19,,,56.6,,,,,,,,,,,26.3,,,,20.8,,,,,,,,,,,,3.27,62.1,,7.58,72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0,soil,agricultural,,4,3,,,single_point
72342_S1002-0160(14)60037-0_72342_S1002-0160(14)60037-0_Maximum,,,,,,,,,,,,0.68,,,71.5,1.84,,,,,,,,,,40.7,,,,32.3,,,,,,,,,,,,28.4,81.7,3.6,8.05,72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0,soil,agricultural,,10,4,,,single_point
72342_S1002-0160(14)60037-0_72342_S1002-0160(14)60037-0_Minimum,,,,,,,,,,,,0.08,,,25.9,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,0.51,49.1,,7.33,72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0,soil,agricultural,,3,3,,,single_point
72342_S1002-0160(14)60037-0_72342_S1002-0160(14)60037-0_Standard_deviation,,,,,,,,,,,,0.14,,,11.2,,,,,,,,,,,4.5,,,,4.0,,,,,,,,,,,,6.38,7.3,,,72342_S1002-0160(14)60037-0,72342_S1002-0160(14)60037-0,soil,agricultural,,4,2,,,single_point
P00217_CK,,,,,,,,,,,,0.19,,,40.0,4.0,,,,,,,,,,190.0,15.8,,,30.6,,,,,,,,,,,,,,7.09,,P00217,P00217,soil,mining,Sichuan,6,1,,,single_point
P00217_S1,,,,,,,,,,,,0.24,,,140.0,6.89,,,,,,,,,,320.0,51.5,,,49.3,,,,,,,,,,,,,,19.4,,P00217,P00217,soil,mining,Sichuan,6,1,,,single_point
P00217_S2,,,,,,,,,,,,0.21,,,110.0,5.9,,,,,,,,,,280.0,55.1,,,49.7,,,,,,,,,,,,,,17.7,,P00217,P00217,soil,mining,Sichuan,6,1,,,single_point
P00217_S3,,,,,,,,,,,,0.25,,,80.0,5.53,,,,,,,,,,240.0,52.7,,,44.3,,,,,,,,,,,,,,18.7,,P00217,P00217,soil,mining,Sichuan,6,1,,,single_point
P00217_S4,,,,,,,,,,,,0.2,,,60.0,4.73,,,,,,,,,,220.0,48.4,,,44.8,,,,,,,,,,,,,,16.0,,P00217,P00217,soil,mining,Sichuan,6,1,,,single_point
P00217_S5,,,,,,,,,,,,0.21,,,60.0,4.3,,,,,,,,,,220.0,16.5,,,42.1,,,,,,,,,,,,,,14.0,,P00217,P00217,soil,mining,Sichuan,6,1,,,single_point
P00242_A,,,,,,7.12,,,,,,1.34,,,12.2,28.4,,,,,,,,,,,,,,144.8,,,,,,,,27.5,6.7,128.0,,,,121.5,,P00242,P00242,soil,e_waste,Hong Kong,5,4,,,site_Mean_downgrade
P00242_EW(OBS),,,,,,48.44,,,,,,11.4,,,272.0,533.0,,,,,,,,,,,,,,3254.0,,,,,,,,32340.0,143.8,1008.0,,,,920.0,,P00242,P00242,soil,e_waste,Hong Kong,5,4,,,site_Mean_downgrade
P00242_EW(S),,,,,,5.82,,,,,,0.08,,,22.93,11.5,,,,,,,,,,,,,,232.0,,,,,,,,50.5,9.5,107.3,,,,114.6,,P00242,P00242,soil,e_waste,Hong Kong,5,4,,,site_Mean_downgrade
P00303_S0,,,,,,100.0,,,,,,,,,68.5,23.9,,,,,,,,,,36.8,,,,16.9,,,,,,,,,,2390.0,,,,79.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S1,,,,,,1530.0,,,,,,,,,248.0,103.0,,,,,,,,,,47.4,,,,197.0,,,,,,,,,,25600.0,,,,903.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S2,,,,,,6300.0,,,,,,,,,165.0,466.0,,,,,,,,,,62.8,,,,394.0,,,,,,,,,,99020.0,,,,1729.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S3,,,,,,350.0,,,,,,,,,289.0,105.0,,,,,,,,,,69.3,,,,138.0,,,,,,,,,,9020.0,,,,685.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S4,,,,,,140.0,,,,,,,,,79.7,27.2,,,,,,,,,,35.1,,,,31.6,,,,,,,,,,3160.0,,,,133.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S5,,,,,,200.0,,,,,,,,,90.3,48.6,,,,,,,,,,40.2,,,,45.1,,,,,,,,,,5590.0,,,,161.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S6,,,,,,430.0,,,,,,,,,67.6,48.6,,,,,,,,,,36.2,,,,45.7,,,,,,,,,,8850.0,,,,194.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S7,,,,,,260.0,,,,,,,,,77.0,42.6,,,,,,,,,,37.6,,,,45.1,,,,,,,,,,6530.0,,,,184.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S8,,,,,,130.0,,,,,,,,,94.2,20.2,,,,,,,,,,37.5,,,,22.2,,,,,,,,,,2930.0,,,,98.4,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00303_S9,,,,,,200.0,,,,,,,,,82.2,34.3,,,,,,,,,,28.7,,,,26.8,,,,,,,,,,5130.0,,,,110.0,,P00303,P00303,soil,industrial,Jiangsu,5,2,32.2708,118.7936,single_point
P00395_Riverbed_0-20cm,,,,,,,,,,,2375.0,,,,,287.0,56.0,,84.0,,,,,,,,,,81.0,,,,5.2,68.0,844.0,,,,,,80.0,,,820.0,,P00395,P00395,soil,other,Beijing,2,8,39.9333,118.3333,single_point
P00612_S2_E.hyemale,,,,147.6,,,,,,,,248.6,,,,3786.0,,,,,,,,,,,,,,7383.0,,,,,,,,,,845.0,,,,11936.0,,P00612,P00612,soil,smelting,Hunan,5,1,,,single_point
P00612_S2_S.davidii,,,,211.3,,,,,,,,7.4,,,,376.4,,,,,,,,,,,,,,1743.0,,,,,,,,,,686.0,,,,224.4,,P00612,P00612,soil,smelting,Hunan,5,1,,,single_point
P00624_B1,,,,,,,,,,,,,,,,5.7,,,0.5,,,,,,,,,,,1.19,,,0.1,,,,,,,,,,,,,P00624,P00624,soil,urban,Beijing,2,2,,,single_point
P00624_B10,,,,,,,,,,,,0.04,,,,27.98,,,0.5,,,,,,,,,,,5.89,,,,,0.2,,,,,,,,,33.18,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B11,,,,,,,,,,,,0.09,,,,10.77,,,1.4,,,,,,,,,,,13.63,,,,,,,,,,,,,,83.35,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B14,,,,,,,,,,,,0.09,,,,10.93,,,,,,,,,,,,,,11.06,,,5.4,,,,,,,,,,,39.93,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B15,,,,,,,,,,,,0.43,,,,6.4,,,0.6,,,,,,,,,,,4.78,,,0.8,,,,,,,,,,,29.98,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B17,,,,,,,,,,,,,,,,5.95,,,1.1,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,P00624,P00624,soil,urban,Beijing,2,1,,,single_point
P00624_B2,,,,,,,,,,,,0.07,,,,17.56,,,1.5,,,,,,,,,,,17.84,,,0.5,,,,,,,,,,,42.68,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B20,,,,,,,,,,,,0.03,,,,9.2,,,,,,,,,,,,,,5.36,,,0.1,,,,,,,,,,,28.45,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B21,,,,,,,,,,,,0.04,,,,8.62,,,1.2,,,,,,,,,,,5.28,,,,,0.1,,,,,,,,,21.03,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B22,,,,,,,,,,,,0.0,,,,6.11,,,,,,,,,,,,,,3.37,,,0.1,,,,,,,,,,,24.15,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B26,,,,,,,,,,,,,,,,6.24,,,0.3,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,P00624,P00624,soil,urban,Beijing,2,1,,,single_point
P00624_B29,,,,,,,,,,,,0.05,,,,11.72,,,0.7,,,,,,,,,,,6.65,,,0.5,,0.1,,,,,,,,,43.18,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B30,,,,,,,,,,,,,,,,7.89,,,,,,,,,,,,,,4.48,,,0.3,,,,,,,,,,,3.28,,P00624,P00624,soil,urban,Beijing,3,1,,,single_point
P00624_B31,,,,,,,,,,,,0.1,,,,19.28,,,,,,,,,,,,,,18.77,,,0.3,,,,,,,,,,,78.93,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B34,,,,,,,,,,,,0.1,,,,13.63,,,,,,,,,,,,,,11.23,,,0.4,,,,,,,,,,,95.53,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B35,,,,,,,,,,,,,,,,7.28,,,0.5,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,P00624,P00624,soil,urban,Beijing,2,1,,,single_point
P00624_B38,,,,,,,,,,,,0.01,,,,9.81,,,0.9,,,,,,,,,,,4.49,,,2.7,,0.1,,,,,,,,,15.43,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B40,,,,,,,,,,,,0.01,,,,20.83,,,,,,,,,,,,,,15.75,,,0.2,,,,,,,,,,,25.83,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B42,,,,,,,,,,,,0.02,,,,11.0,,,1.1,,,,,,,,,,,20.5,,,7.1,,0.1,,,,,,,,,60.33,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B43,,,,,,,,,,,,0.03,,,,8.39,,,,,,,,,,,,,,4.75,,,0.8,,,,,,,,,,,27.7,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B44,,,,,,,,,,,,0.01,,,,7.91,,,0.5,,,,,,,,,,,2.8,,,,,,,,,,,,,,18.6,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B45,,,,,,,,,,,,,,,,10.46,,,5.6,,,,,,,,,,,3.97,,,2.3,,,,,,,,,,,,,P00624,P00624,soil,urban,Beijing,2,2,,,single_point
P00624_B46,,,,,,,,,,,,0.02,,,,11.87,,,,,,,,,,,,,,4.33,,,0.7,,,,,,,,,,,24.05,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B48,,,,,,,,,,,,0.02,,,,9.76,,,,,,,,,,,,,,5.02,,,0.2,,,,,,,,,,,25.05,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B5,,,,,,,,,,,,0.02,,,,7.17,,,1.1,,,,,,,,,,,3.83,,,,,,,,,,,,,,18.05,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B50,,,,,,,,,,,,0.07,,,,13.36,,,1.3,,,,,,,,,,,9.41,,,0.2,,0.2,,,,,,,,,30.4,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B51,,,,,,,,,,,,0.03,,,,11.84,,,1.2,,,,,,,,,,,4.45,,,0.2,,,,,,,,,,,23.15,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B52,,,,,,,,,,,,0.02,,,,7.56,,,,,,,,,,,,,,1.58,,,2.2,,,,,,,,,,,12.48,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B54,,,,,,,,,,,,0.03,,,,9.44,,,,,,,,,,,,,,4.33,,,0.3,,,,,,,,,,,47.83,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B55,,,,,,,,,,,,0.01,,,,10.81,,,,,,,,,,,,,,13.77,,,1.0,,,,,,,,,,,15.38,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B56,,,,,,,,,,,,0.01,,,,7.44,,,0.3,,,,,,,,,,,2.45,,,0.3,,,,,,,,,,,14.63,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B57,,,,,,,,,,,,0.03,,,,11.57,,,0.4,,,,,,,,,,,4.79,,,0.4,,0.2,,,,,,,,,21.78,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B58,,,,,,,,,,,,0.06,,,,15.33,,,,,,,,,,,,,,7.24,,,0.3,,,,,,,,,,,32.2,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B59,,,,,,,,,,,,0.06,,,,19.78,,,,,,,,,,,,,,8.09,,,0.3,,,,,,,,,,,48.78,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B6,,,,,,,,,,,,0.04,,,,7.73,,,2.7,,,,,,,,,,,5.31,,,0.4,,0.1,,,,,,,,,22.3,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B60,,,,,,,,,,,,0.01,,,,13.01,,,,,,,,,,,,,,5.24,,,0.2,,,,,,,,,,,21.08,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B64,,,,,,,,,,,,0.06,,,,12.45,,,5.4,,,,,,,,,,,13.83,,,0.6,,0.1,,,,,,,,,36.75,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B65,,,,,,,,,,,,0.03,,,,12.5,,,,,,,,,,,,,,6.53,,,0.2,,0.1,,,,,,,,,39.05,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B66,,,,,,,,,,,,0.11,,,,16.11,,,,,,,,,,,,,,17.33,,,0.4,,,,,,,,,,,95.1,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B67,,,,,,,,,,,,0.04,,,,14.82,,,,,,,,,,,,,,8.92,,,0.4,,0.2,,,,,,,,,80.3,,P00624,P00624,soil,urban,Beijing,4,2,,,single_point
P00624_B68,,,,,,,,,,,,0.13,,,,23.34,,,1.1,,,,,,,,,,,16.15,,,1.2,,0.1,,,,,,,,,123.93,,P00624,P00624,soil,urban,Beijing,4,3,,,single_point
P00624_B7,,,,,,,,,,,,0.09,,,,8.69,,,,,,,,,,,,,,11.16,,,0.3,,,,,,,,,,,54.65,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B8,,,,,,,,,,,,0.08,,,,9.58,,,,,,,,,,,,,,8.91,,,0.5,,,,,,,,,,,45.75,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_B9,,,,,,,,,,,,0.04,,,,8.61,,,0.7,,,,,,,,,,,7.75,,,,,,,,,,,,,,39.38,,P00624,P00624,soil,urban,Beijing,4,1,,,single_point
P00624_S1,,,,,,,,,,,,0.01,,,,6.44,,,,,,,,,,,,,,10.41,,,,,0.1,,,,,,,,,25.02,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S12,,,,,,,,,,,,0.06,,,,18.55,,,,,,,,,,,,,,17.61,,,0.7,,,,,,,,,,,67.74,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S13,,,,,,,,,,,,0.05,,,,15.78,,,1.6,,,,,,,,,,,16.47,,,,,0.1,,,,,,,,,54.55,,P00624,P00624,soil,urban,Shanghai,4,2,,,single_point
P00624_S14,,,,,,,,,,,,,,,,6.94,,,0.7,,,,,,,,,,,3.87,,,,,,,,,,,,,,25.04,,P00624,P00624,soil,urban,Shanghai,3,1,,,single_point
P00624_S16,,,,,,,,,,,,0.06,,,,12.19,,,,,,,,,,,,,,16.5,,,0.3,,,,,,,,,,,57.8,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S19,,,,,,,,,,,,,,,,5.96,,,,,,,,,,,,,,5.15,,,0.1,,,,,,,,,,,32.87,,P00624,P00624,soil,urban,Shanghai,3,1,,,single_point
P00624_S2,,,,,,,,,,,,0.01,,,,6.76,,,,,,,,,,,,,,4.57,,,,,0.1,,,,,,,,,15.77,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S23,,,,,,,,,,,,,,,,7.49,,,,,,,,,,,,,,5.9,,,,,0.1,,,,,,,,,18.17,,P00624,P00624,soil,urban,Shanghai,3,1,,,single_point
P00624_S27,,,,,,,,,,,,0.07,,,,27.26,,,128.0,,,,,,,,,,,15.46,,,,,,,,,,,,,,39.12,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S3,,,,,,,,,,,,0.06,,,,10.07,,,,,,,,,,,,,,8.88,,,,,0.1,,,,,,,,,33.6,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S32,,,,,,,,,,,,0.13,,,,13.46,,,1.0,,,,,,,,,,,14.97,,,,,,,,,,,,,,47.54,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S33,,,,,,,,,,,,0.06,,,,16.89,,,,,,,,,,,,,,15.4,,,,,0.1,,,,,,,,,36.99,,P00624,P00624,soil,urban,Shanghai,4,1,,,single_point
P00624_S35,,,,,,,,,,,,,,,,6.79,,,1.7,,,,,,,,,,,14.22,,,,,0.1,,,,,,,,,21.12,,P00624,P00624,soil,urban,Shanghai,3,2,,,single_point
